                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7591,                 3.9246,                 4.2061,                 0.0047,                0.25362,                0.00462,                0.00144,                 3.5042,                 3.7078,                 4.1587,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 3.6866,                 3.9369,                 4.1929,                0.00471,                0.25119,                0.00323,                0.00105,                 3.5038,                 3.7014,                 4.1571,             0.00018216,             0.00018216,             0.00018216
                      3,                 3.6806,                 3.8695,                 4.1721,                0.00452,                 0.2483,                0.00364,                0.00118,                 3.5046,                 3.6912,                 4.1541,             0.00027965,             0.00027965,             0.00027965
                      4,                 3.7219,                 3.8454,                 4.1441,                0.00495,                0.26378,                0.00661,                0.00178,                 3.5034,                 3.6747,                 4.1489,             0.00037582,             0.00037582,             0.00037582
                      5,                 3.6704,                 3.6826,                 4.1203,                  0.005,                0.26782,                  0.007,                0.00197,                 3.5038,                 3.6532,                 4.1408,             0.00047067,             0.00047067,             0.00047067
                      6,                 3.7139,                 3.6059,                 4.0833,                0.00495,                0.26378,                0.00635,                0.00173,                 3.5032,                 3.7534,                 4.1285,              0.0005642,              0.0005642,              0.0005642
                      7,                 3.6584,                 3.4927,                 4.0332,                0.00505,                 0.2757,                0.00701,                  0.002,                 3.5029,                 3.7199,                 4.1099,              0.0006564,              0.0006564,              0.0006564
                      8,                 3.5926,                 3.4043,                 3.9989,                0.00509,                0.27997,                0.00602,                0.00187,                 3.5028,                 3.8314,                 4.0716,             0.00074729,             0.00074729,             0.00074729
                      9,                 3.5982,                 3.3314,                 3.9347,                0.00524,                0.28626,                0.01112,                0.00306,                 3.5071,                 3.7723,                  4.017,             0.00083686,             0.00083686,             0.00083686
                     10,                 3.5638,                 3.3343,                 3.8966,                0.00523,                0.28894,                0.00742,                0.00205,                 3.5092,                 3.7295,                 3.9516,             0.00092511,             0.00092511,             0.00092511
                     11,                 3.5763,                 3.2666,                 3.8421,                0.01005,                0.30818,                0.01078,                0.00266,                 3.5016,                 3.5936,                 3.9402,               0.001012,               0.001012,               0.001012
                     12,                 3.5189,                  3.262,                 3.8102,                0.00178,                0.19838,                0.00305,                0.00077,                 3.4615,                 3.7261,                 3.8286,              0.0010976,              0.0010976,              0.0010976
                     13,                 3.4108,                 3.2734,                 3.7509,                0.00338,                0.09312,                0.00381,                 0.0009,                 3.4442,                  7.124,                 3.9571,              0.0011819,              0.0011819,              0.0011819
                     14,                 3.3937,                 3.2454,                 3.7043,                0.00502,                0.09717,                0.00515,                0.00134,                 3.4658,                  12.92,                 3.9869,              0.0012649,              0.0012649,              0.0012649
                     15,                 3.3179,                 3.2917,                 3.6616,                0.01285,                0.05263,                0.00381,                0.00102,                  3.468,                 8.8445,                 3.9144,              0.0013465,              0.0013465,              0.0013465
                     16,                 3.2886,                 3.2341,                 3.6125,                0.51196,                0.04858,                0.00942,                0.00272,                 3.4612,                 7.3329,                 3.8438,              0.0014269,              0.0014269,              0.0014269
                     17,                 3.2587,                 3.1942,                 3.5678,                0.01046,                0.04251,                0.00352,                0.00098,                 3.4443,                 10.197,                 3.8489,               0.001491,               0.001491,               0.001491
                     18,                 3.2491,                 3.1395,                 3.5057,                0.00825,                0.05061,                  0.003,                0.00087,                 3.3955,                 5.8017,                 3.6609,                0.00148,                0.00148,                0.00148
                     19,                 3.1954,                  3.138,                 3.4985,                0.51033,                0.05668,                 0.0115,                 0.0032,                 3.4073,                 4.7283,                  3.627,               0.001469,               0.001469,               0.001469
                     20,                 3.1415,                 3.2083,                 3.4514,                 0.0055,                0.32658,                0.00879,                0.00258,                 3.3719,                  4.001,                 3.7308,               0.001458,               0.001458,               0.001458
                     21,                 3.0367,                 3.1741,                 3.3892,                0.02363,                0.13398,                 0.0096,                0.00257,                 3.2948,                 3.5463,                 3.7308,               0.001447,               0.001447,               0.001447
                     22,                  3.124,                 3.2458,                 3.3774,                0.50812,                0.05668,                0.01046,                0.00299,                 3.2477,                  3.503,                 3.6749,               0.001436,               0.001436,               0.001436
                     23,                 3.0055,                 3.2087,                  3.315,                0.00613,                0.37772,                0.00913,                0.00261,                 3.2317,                 3.5604,                  3.696,               0.001425,               0.001425,               0.001425
                     24,                  2.953,                 3.1812,                 3.3074,                0.00491,                0.27822,                0.00638,                0.00219,                 3.5735,                 3.8615,                 4.0173,              0.0014139,              0.0014139,              0.0014139
                     25,                 2.8673,                 3.1601,                 3.2497,                0.00507,                0.29528,                0.00805,                0.00254,                 3.5573,                 3.8724,                 4.0065,              0.0014029,              0.0014029,              0.0014029
                     26,                 2.8464,                 3.0306,                 3.1702,                0.00621,                0.37613,                0.00837,                0.00243,                 3.2772,                 3.7217,                 3.7755,              0.0013919,              0.0013919,              0.0013919
                     27,                  2.814,                 3.0117,                 3.1581,                0.00834,                0.40316,                0.01369,                0.00355,                 3.1848,                 3.5603,                 3.5867,              0.0013809,              0.0013809,              0.0013809
                     28,                  2.768,                  2.995,                 3.1321,                0.03997,                0.11815,                0.02131,                0.00624,                  2.922,                 3.5734,                 3.3022,              0.0013699,              0.0013699,              0.0013699
                     29,                 2.6967,                 3.0289,                 3.1055,                0.04503,                0.10869,                0.02163,                0.00622,                 2.8782,                 3.4504,                 3.2817,              0.0013589,              0.0013589,              0.0013589
                     30,                 2.7959,                 2.9542,                 3.0764,                0.04912,                0.17122,                  0.027,                0.00719,                  2.797,                 3.3767,                 3.3202,              0.0013479,              0.0013479,              0.0013479
                     31,                 2.7524,                 2.9819,                 3.0659,                0.05012,                0.10847,                0.02185,                0.00604,                 2.9462,                 3.3821,                 3.4387,              0.0013369,              0.0013369,              0.0013369
                     32,                 2.7309,                 2.9736,                 3.0604,                0.05506,                0.13132,                0.03543,                0.00914,                 2.8631,                 3.3533,                 3.3362,              0.0013259,              0.0013259,              0.0013259
                     33,                 2.6996,                 2.9253,                 3.0282,                0.06887,                0.17144,                0.05131,                0.01296,                 2.8064,                 3.3282,                 3.2335,              0.0013149,              0.0013149,              0.0013149
                     34,                 2.6495,                 2.9007,                 2.9799,                0.10422,                0.17281,                0.06358,                0.01716,                  2.688,                 3.1738,                 3.0931,              0.0013039,              0.0013039,              0.0013039
                     35,                 2.6394,                 2.9088,                 3.0178,                0.09421,                0.19177,                0.06085,                 0.0161,                 2.6817,                 3.1591,                 3.0683,              0.0012929,              0.0012929,              0.0012929
                     36,                 2.6518,                 2.9086,                 2.9989,                0.08882,                0.16994,                0.04645,                0.01291,                 2.7249,                 3.2395,                 3.1289,              0.0012819,              0.0012819,              0.0012819
                     37,                 2.6627,                 2.8744,                 2.9509,                0.08421,                0.17022,                0.04813,                0.01343,                 2.7207,                 3.1328,                 3.1408,              0.0012709,              0.0012709,              0.0012709
                     38,                 2.5939,                 2.8373,                 2.9373,                0.10557,                0.18772,                0.04917,                0.01362,                 2.6879,                 3.1032,                  3.138,              0.0012599,              0.0012599,              0.0012599
                     39,                 2.5496,                 2.9078,                 2.8822,                 0.0951,                0.21868,                0.05103,                0.01446,                 2.6681,                 3.1288,                 3.1222,              0.0012489,              0.0012489,              0.0012489
                     40,                 2.5367,                 2.8822,                 2.9088,                0.11985,                0.20992,                   0.07,                0.01955,                 2.6289,                 3.1793,                 3.0792,              0.0012379,              0.0012379,              0.0012379
                     41,                 2.5772,                 2.8341,                 2.9121,                0.10602,                0.18489,                0.06489,                0.01729,                 2.6546,                 3.3408,                 3.0426,              0.0012269,              0.0012269,              0.0012269
                     42,                 2.4902,                 2.8182,                 2.8405,                0.10563,                0.15706,                0.05689,                0.01608,                 2.6337,                 3.0902,                 3.0127,              0.0012159,              0.0012159,              0.0012159
                     43,                  2.541,                 2.8397,                 2.8565,                0.10386,                0.16225,                0.05724,                0.01629,                 2.6582,                 2.9958,                 3.0481,              0.0012049,              0.0012049,              0.0012049
                     44,                 2.5005,                 2.7941,                 2.8325,                0.10593,                0.12105,                0.05267,                0.01412,                 2.6749,                 3.0098,                 3.1179,              0.0011939,              0.0011939,              0.0011939
                     45,                 2.5472,                 2.8548,                 2.8897,                 0.1046,                0.10775,                 0.0614,                0.01571,                 2.6738,                 2.9914,                 3.0975,              0.0011829,              0.0011829,              0.0011829
                     46,                 2.5527,                   2.78,                 2.8551,                0.11737,                0.20523,                0.08661,                0.02644,                  2.564,                 2.9089,                 2.9617,              0.0011719,              0.0011719,              0.0011719
                     47,                 2.4597,                 2.7954,                 2.8282,                0.11989,                 0.2131,                 0.0889,                 0.0279,                 2.5692,                 2.9669,                 2.9511,              0.0011609,              0.0011609,              0.0011609
                     48,                 2.4675,                 2.7993,                 2.7642,                 0.1506,                0.23574,                0.10646,                0.03096,                 2.4921,                 3.0096,                 2.8944,              0.0011499,              0.0011499,              0.0011499
                     49,                 2.4687,                 2.7493,                 2.7943,                0.15768,                0.25817,                0.10637,                0.02974,                 2.4885,                 2.9168,                 2.8912,              0.0011389,              0.0011389,              0.0011389
                     50,                  2.463,                 2.8035,                 2.7824,                0.14845,                0.25477,                0.10068,                0.02933,                 2.4879,                 2.8278,                  2.902,              0.0011279,              0.0011279,              0.0011279
                     51,                 2.4997,                 2.7937,                 2.8134,                0.14411,                0.22895,                0.09503,                0.02797,                 2.4875,                 2.8319,                 2.9027,              0.0011169,              0.0011169,              0.0011169
                     52,                 2.4325,                 2.7055,                 2.7829,                0.10348,                0.17679,                0.06884,                0.02144,                 2.4721,                 2.8328,                 2.8801,              0.0011059,              0.0011059,              0.0011059
                     53,                 2.4574,                 2.7194,                 2.7948,                0.13833,                0.24064,                0.08271,                 0.0239,                 2.5055,                 2.7603,                 2.8928,              0.0010949,              0.0010949,              0.0010949
                     54,                 2.4831,                  2.731,                 2.8032,                0.20734,                0.21613,                0.12358,                0.03558,                 2.4744,                 2.7204,                 2.8865,              0.0010839,              0.0010839,              0.0010839
                     55,                 2.4051,                 2.7515,                 2.7533,                0.19828,                0.24029,                0.12598,                 0.0364,                 2.4786,                 2.7112,                 2.8913,              0.0010729,              0.0010729,              0.0010729
                     56,                 2.4788,                 2.6775,                 2.7698,                0.18437,                0.22647,                0.12255,                0.03703,                 2.4894,                 2.8149,                 2.8902,              0.0010619,              0.0010619,              0.0010619
                     57,                 2.3707,                 2.7398,                 2.7274,                0.18717,                0.23927,                0.11726,                0.03408,                 2.4806,                 2.8703,                 2.8845,              0.0010509,              0.0010509,              0.0010509
                     58,                  2.375,                 2.7574,                 2.7306,                0.16705,                0.23485,                0.11168,                0.03185,                 2.4224,                 2.7506,                 2.8757,              0.0010399,              0.0010399,              0.0010399
                     59,                 2.4017,                 2.7425,                 2.7356,                0.16619,                 0.2326,                0.10341,                0.02887,                 2.4126,                 2.7221,                 2.8687,              0.0010289,              0.0010289,              0.0010289
                     60,                 2.3259,                 2.6611,                 2.6994,                0.16522,                0.24262,                0.10014,                0.02921,                 2.4533,                  2.691,                 2.8635,              0.0010179,              0.0010179,              0.0010179
                     61,                 2.4502,                  2.697,                 2.7191,                0.15273,                0.25228,                0.10302,                0.02993,                  2.487,                 2.6997,                 2.8773,              0.0010069,              0.0010069,              0.0010069
                     62,                 2.3403,                 2.6399,                 2.6983,                0.14622,                0.24045,                0.10247,                0.02993,                 2.4499,                  2.834,                 2.8418,             0.00099587,             0.00099587,             0.00099587
                     63,                 2.3484,                  2.704,                  2.706,                0.13917,                0.22977,                0.10104,                0.03146,                 2.4307,                 2.8769,                 2.8387,             0.00098486,             0.00098486,             0.00098486
                     64,                 2.3606,                 2.7141,                 2.7134,                0.12586,                0.23287,                0.09511,                0.02977,                 2.4428,                 2.8642,                 2.8531,             0.00097386,             0.00097386,             0.00097386
                     65,                 2.4003,                 2.6821,                 2.7455,                0.12943,                0.20825,                0.10282,                 0.0327,                 2.4207,                 2.8132,                 2.8256,             0.00096286,             0.00096286,             0.00096286
                     66,                 2.3406,                 2.6969,                 2.7065,                0.19351,                0.27028,                0.12792,                0.03945,                 2.4002,                 2.6866,                 2.8248,             0.00095186,             0.00095186,             0.00095186
                     67,                 2.3213,                 2.5994,                 2.6741,                0.18944,                0.25048,                0.12465,                0.03861,                 2.3681,                 2.6544,                 2.8066,             0.00094085,             0.00094085,             0.00094085
                     68,                 2.3571,                 2.7015,                 2.7096,                0.20309,                0.21952,                0.13099,                0.03766,                 2.3826,                  2.684,                 2.8401,             0.00092985,             0.00092985,             0.00092985
                     69,                 2.3464,                 2.6245,                 2.6552,                0.21535,                0.24656,                0.13762,                0.04118,                 2.3773,                 2.6975,                 2.8149,             0.00091885,             0.00091885,             0.00091885
                     70,                  2.329,                 2.6523,                 2.6977,                0.16974,                0.28798,                0.12497,                 0.0398,                 2.4027,                 2.7796,                 2.8132,             0.00090785,             0.00090785,             0.00090785
                     71,                 2.3306,                 2.6645,                 2.6671,                0.18233,                 0.2749,                0.12973,                0.04163,                 2.3582,                 2.7249,                 2.7797,             0.00089685,             0.00089685,             0.00089685
                     72,                 2.3581,                 2.6506,                 2.6788,                0.19639,                0.23435,                0.14828,                0.04638,                 2.3409,                 2.6631,                 2.7369,             0.00088584,             0.00088584,             0.00088584
                     73,                 2.2933,                 2.6031,                 2.6611,                0.21698,                0.25069,                0.15955,                0.04906,                 2.3355,                 2.6704,                 2.7112,             0.00087484,             0.00087484,             0.00087484
                     74,                 2.2754,                 2.6401,                  2.631,                0.25147,                0.25633,                0.17602,                0.05399,                  2.408,                  2.677,                 2.7575,             0.00086384,             0.00086384,             0.00086384
                     75,                 2.2651,                 2.5623,                 2.5939,                0.22596,                0.25792,                 0.1584,                0.04912,                 2.4248,                 2.6818,                  2.772,             0.00085284,             0.00085284,             0.00085284
                     76,                 2.2484,                 2.6007,                 2.5884,                0.19803,                0.27305,                0.14379,                0.04447,                 2.3165,                  2.654,                 2.7202,             0.00084184,             0.00084184,             0.00084184
                     77,                 2.3116,                 2.6132,                 2.6361,                0.21017,                0.28397,                0.15612,                 0.0478,                 2.2925,                 2.6483,                 2.7046,             0.00083083,             0.00083083,             0.00083083
                     78,                 2.3172,                 2.5893,                 2.6499,                0.22059,                0.29604,                0.17177,                0.05355,                 2.2964,                 2.6219,                 2.6871,             0.00081983,             0.00081983,             0.00081983
                     79,                 2.2001,                 2.5158,                 2.5682,                0.22486,                 0.2687,                0.18366,                0.05681,                 2.3362,                 2.6605,                 2.7191,             0.00080883,             0.00080883,             0.00080883
                     80,                 2.3237,                 2.5529,                 2.6551,                0.25132,                0.28713,                0.19144,                0.06202,                 2.3297,                 2.6335,                 2.7321,             0.00079783,             0.00079783,             0.00079783
                     81,                 2.2961,                 2.6007,                 2.6108,                0.29102,                0.28909,                0.19985,                0.06377,                 2.2987,                 2.5683,                 2.7186,             0.00078682,             0.00078682,             0.00078682
                     82,                 2.2324,                 2.5111,                 2.6135,                0.24099,                0.26372,                0.17754,                 0.0558,                 2.2696,                 2.5463,                 2.6946,             0.00077582,             0.00077582,             0.00077582
                     83,                  2.266,                 2.6003,                 2.6045,                0.23516,                 0.2829,                0.16767,                0.05283,                 2.2629,                 2.5762,                 2.6891,             0.00076482,             0.00076482,             0.00076482
                     84,                 2.2443,                 2.5051,                 2.5644,                 0.2403,                0.28189,                0.16681,                0.05312,                 2.3035,                 2.6031,                 2.6948,             0.00075382,             0.00075382,             0.00075382
